变化名称,变化阶段,要素类型,变化置信度,发现变化时间,是否需要测绘,3613规则,要素地址,线索信息
文成县大N镇通村公路,竣工,道路,高,2017/12/25,是,三个月更新,温州市文成县,新闻
温州市危险桥隧,完工,桥梁,低,2017/12/12,否,三个月更新,温州市,新闻
文成珊溪交通码头,竣工,码头,高,2017/11/24,是,三个月更新,温州市文成县,新闻
G104京福线瓯海段,竣工,道路,高,2017/11/16,是,三个月更新,温州市,新闻
瑞枫公路瑞安至湖岭段,竣工,道路,高,2017/11/13,是,三个月更新,温州市瑞安市,新闻
中海油丽水36-1气田终端配套码头,竣工,码头,低,2017/11/8,否,三个月更新,温州市,新闻
S230省道,完工,道路,低,2017/11/7,否,三个月更新,温州市平阳县,新闻
瑞枫公路瑞安至湖岭段,竣工,道路,高,2017/10/24,是,三个月更新,温州市瑞安市,新闻
浙能温州电厂煤码头,竣工,码头,高,2017/10/18,是,三个月更新,温州市,新闻
鹿城区农村公路,完工,道路,高,2017/9/27,是,三个月更新,温州市鹿城区,新闻
文成县“建制村客车村村通”全线,完工,道路,高,2017/9/26,是,三个月更新,温州市文成县,新闻
104国道乐清虹桥至乐成段,竣工,道路,高,2017/9/8,是,三个月更新,温州市乐清市,新闻
苍南大道,竣工,道路,高,2017/9/4,是,三个月更新,温州市苍南县,新闻
金丽温高速温州市瓯海段,完工,道路,低,2017/8/28,否,三个月更新,温州市,新闻
泰顺228省道,竣工,道路,低,2017/7/17,否,三个月更新,温州市泰顺县,新闻
泰顺黄桥至文成铜铃山,竣工,道路,高,2017/7/6,是,三个月更新,温州市文成县,新闻
龙湾S332温强线,竣工,道路,低,2017/5/26,否,三个月更新,温州市龙湾区,新闻
G104京福线永嘉挂彩到六岙段,竣工,道路,高,2017/5/11,是,三个月更新,温州市永嘉县,新闻
昆鳌快速联系通道,竣工,道路,高,2017/5/10,是,三个月更新,温州市平阳县,新闻
57省道暨文青、文泰公路文成段,竣工,道路,高,2017/5/4,是,三个月更新,温州市平阳县,新闻
文成九溪桥,完工,桥梁,高,2017/4/14,是,三个月更新,温州市文成县,新闻
G322国道,完工,道路,低,2017/3/16,否,三个月更新,温州市文成县,新闻
温州海运公司灵昆多用途码头,竣工,码头,高,2017/2/16,是,三个月更新,温州市,新闻
龙湾区永中街道城北桥、新华桥,竣工,桥梁,高,2017/1/20,是,三个月更新,温州市龙湾区,新闻
文成县N口绿道大桥,完工,桥梁,高,2017/1/19,是,三个月更新,温州市文成县,新闻
温州港乐清湾港区,竣工,码头,高,2017/1/12,是,三个月更新,温州市乐清市,新闻
温州甬台温高速,完工,道路,低,2017/1/11,否,三个月更新,温州市,新闻
雁楠公路,竣工,道路,高,2016/12/29,是,三个月更新,温州市,新闻
湖雾岭隧道,竣工,道路,低,2016/11/18,否,三个月更新,温州市乐清市,新闻
瑞安市农村危桥,完工,桥梁,高,2016/11/8,是,三个月更新,温州市瑞安市,新闻
